Game Date,Visitor,Visitor Score,Home,Home Score,Game URL,OT
08-11-2019 21:00,Milwaukee Bucks,100,Utah Jazz,103,https://www.basketball-reference.com/boxscores/201911080UTA.html,
08-11-2019 22:00,Brooklyn Nets,119,Portland Trail Blazers,115,https://www.basketball-reference.com/boxscores/201911080POR.html,
08-11-2019 22:30,Miami Heat,80,Los Angeles Lakers,95,https://www.basketball-reference.com/boxscores/201911080LAL.html,
09-11-2019 17:00,Boston Celtics,135,San Antonio Spurs,115,https://www.basketball-reference.com/boxscores/201911090SAS.html,
09-11-2019 19:00,New Orleans Pelicans,115,Charlotte Hornets,110,https://www.basketball-reference.com/boxscores/201911090CHO.html,
09-11-2019 20:00,Houston Rockets,117,Chicago Bulls,94,https://www.basketball-reference.com/boxscores/201911090CHI.html,
09-11-2019 20:00,Dallas Mavericks,138,Memphis Grizzlies,122,https://www.basketball-reference.com/boxscores/201911090MEM.html,
09-11-2019 20:00,Golden State Warriors,108,Oklahoma City Thunder,114,https://www.basketball-reference.com/boxscores/201911090OKC.html,
10-11-2019 15:30,Denver Nuggets,100,Minnesota Timberwolves,98,https://www.basketball-reference.com/boxscores/201911100MIN.html,OT
10-11-2019 18:00,Indiana Pacers,109,Orlando Magic,102,https://www.basketball-reference.com/boxscores/201911100ORL.html,
10-11-2019 18:00,Charlotte Hornets,106,Philadelphia 76ers,114,https://www.basketball-reference.com/boxscores/201911100PHI.html,
10-11-2019 19:00,Milwaukee Bucks,121,Oklahoma City Thunder,119,https://www.basketball-reference.com/boxscores/201911100OKC.html,
10-11-2019 19:30,Cleveland Cavaliers,108,New York Knicks,87,https://www.basketball-reference.com/boxscores/201911100NYK.html,
10-11-2019 20:00,Brooklyn Nets,112,Phoenix Suns,138,https://www.basketball-reference.com/boxscores/201911100PHO.html,
10-11-2019 21:00,Atlanta Hawks,113,Portland Trail Blazers,124,https://www.basketball-reference.com/boxscores/201911100POR.html,OT
10-11-2019 21:30,Toronto Raptors,113,Los Angeles Lakers,104,https://www.basketball-reference.com/boxscores/201911100LAL.html,
11-11-2019 19:00,Minnesota Timberwolves,120,Detroit Pistons,114,https://www.basketball-reference.com/boxscores/201911110DET.html,
11-11-2019 19:30,Dallas Mavericks,106,Boston Celtics,116,https://www.basketball-reference.com/boxscores/201911110BOS.html,
11-11-2019 19:30,Memphis Grizzlies,113,San Antonio Spurs,109,https://www.basketball-reference.com/boxscores/201911110SAS.html,
11-11-2019 20:00,Houston Rockets,122,New Orleans Pelicans,116,https://www.basketball-reference.com/boxscores/201911110NOP.html,
11-11-2019 22:30,Utah Jazz,122,Golden State Warriors,108,https://www.basketball-reference.com/boxscores/201911110GSW.html,
11-11-2019 22:30,Toronto Raptors,88,Los Angeles Clippers,98,https://www.basketball-reference.com/boxscores/201911110LAC.html,
12-11-2019 19:00,Oklahoma City Thunder,85,Indiana Pacers,111,https://www.basketball-reference.com/boxscores/201911120IND.html,
12-11-2019 19:00,Cleveland Cavaliers,97,Philadelphia 76ers,98,https://www.basketball-reference.com/boxscores/201911120PHI.html,
