Price,Posted Date,Unit No.,Address,Bedrooms,Bathrooms,Parking,Size,Maintenance,URL
399000,Jul-30-2020,1B,6 Rosebank Dr,1.5,1,1,600,464,https://condos.ca/toronto/markham-place-2-6-rosebank-dr/unit-1B-E4850405
455000,Jul-30-2020,806,125 Village Green Sq,1.5,1,1,600,378,https://condos.ca/toronto/solaris-1-125-village-green-square/unit-806-E4850247
399900,Jul-30-2020,2608,9 Valhalla Inn Rd,1,1,1,500,357,https://condos.ca/toronto/triumph-at-valhalla-9-valhalla-inn-rd/unit-2608-W4850291
488800,Jul-31-2020,401,9 Michael Power Pl,1,1,1,600,538,https://condos.ca/toronto/port-royal-place-4-9-michael-power-pl/unit-401-W4851814
488000,Jul-30-2020,2209,28 Harrison Garden Blvd,1,1,1,500,448,https://condos.ca/toronto/spectrum-condos-28-harrison-garden-blvd/unit-2209-C4850140
499990,Jul-31-2020,816,88 Corporate Dr,2.5,2,2,1000,708,https://condos.ca/toronto/the-residences-at-the-consilium-l-88-corporate-dr/unit-816-E4851161
379000,Jul-30-2020,307,2645 Kipling Ave,2,1,1,1200,430,https://condos.ca/toronto/2645-kipling-avenue-condos-2645-kipling-ave/unit-307-W4850062
499999,Jul-30-2020,1605,33 Shore Breeze Dr,1,1,0,500,315,https://condos.ca/toronto/jade-waterfront-condos-33-shore-breeze-drive/unit-1605-W4850068
399900,Jul-31-2020,917,5 Soudan Ave,1,1,0,499,270,https://condos.ca/toronto/art-shoppe-lofts-condos-8-hillsdale-ave-e-2131-yonge-st-5-soudan-ave/unit-917-C4851645
449900,Jul-30-2020,1111,80 Esther Lorrie Dr,1,1,1,600,538,https://condos.ca/toronto/cloud-9-80-esther-lorrie-dr/unit-1111-W4850925
479000,Jul-30-2020,628,27 Rean Dr,1,1,1,500,540,https://condos.ca/toronto/merci-condos-27-rean-dr/unit-628-C4849978
499000,Jul-30-2020,807,11753 Sheppard Ave,2.5,2,1,1000,728,https://condos.ca/toronto/platinum-rouge-11753-sheppard-ave-e/unit-807-E4849844
460000,Jul-29-2020,1411,181 Village Green Sq,1,1,1,500,401,https://condos.ca/toronto/ventus-ii-at-metrogate-181-village-green-square/unit-1411-E4849305
489900,Jul-29-2020,407,8 Fieldway Rd,1,1,0,500,395,https://condos.ca/toronto/westwood-condos-8-fieldway-rd/unit-407-W4849294
399000,Jul-29-2020,1612,25 Silver Springs Blvd,1.5,1,1,900,539,https://condos.ca/toronto/woodlands-on-the-park-25-silver-springs-blvd-45-silver-springs-blvd/unit-1612-E4849146
492000,Jul-30-2020,3107,105 The Queensway Ave,1,1,0,499,370,https://condos.ca/toronto/nxt-2-105-the-queensway/unit-3107-W4849531
449000,Jul-30-2020,PH05,735 Don Mills Rd,1,1,1,500,551,https://condos.ca/toronto/715-don-mills-715-735-don-mills-rd/unit-Ph05-C4849459
499999,Jul-30-2020,719,169 Fort York Blvd,1,1,0,500,327,https://condos.ca/toronto/garrison-at-fort-york-169-fort-york-blvd/unit-719-C4849456
499000,Jul-29-2020,1907,215 Fort York Blvd,1,1,1,600,377,https://condos.ca/toronto/neptune-neptune-2-at-waterpark-city-209-fort-york-blvd-215-fort-york-blvd/unit-1907-C4848613
468000,Jul-30-2020,1503,120 Dundalk Dr,3,2,1,1200,874,https://condos.ca/toronto/120-dundalk-drive-condos-120-dundalk-dr/unit-1503-E4849964
499000,Jul-29-2020,2802,88 Grangeway Ave,2,1,1,700,574,https://condos.ca/toronto/altitude-88-grangeway-ave/unit-2802-E4848956
469900,Jul-30-2020,2108,56 Forest Manor Rd,1.5,1,0,499,263,https://condos.ca/toronto/the-park-club-emerald-city-56-forest-manor-rd/unit-2108-C4849389
499000,Aug-01-2020,3212,125 Redpath Ave,1,1,1,500,327,https://condos.ca/toronto/the-eglinton-125-redpath-ave/unit-3212-C4852583
450000,Jul-31-2020,16,435 Silverstone Dr,2.5,2,1,1200,470,https://condos.ca/toronto/431-silverstone-condos-1701-albion-rd-431-437-silverstone-dr/unit-16-W4852370
498800,Jul-29-2020,337,1005 King St W,1,1,1,500,465,https://condos.ca/toronto/dna-north-tower-1005-king-st-w/unit-337-C4849361
479900,Jul-29-2020,705,61 Markbrook Lane,2,2,1,1000,466,https://condos.ca/toronto/cascades-1-61-markbrook-ln/unit-705-W4849369
489000,Jul-29-2020,317,1070 Progress Ave,2,2,1,1000,396,https://condos.ca/toronto/orchid-place-condos-80-90-orchid-pl-dr-1070-progress-ave/unit-317-E4848598
459000,Jul-29-2020,# 213,475 The West Mall,2,1,1,1200,735,https://condos.ca/toronto/sunset-west-475-the-west-mall/unit-213-W4849290
431900,Jul-31-2020,2070,100 Mornelle Crt,2.5,2,1,1200,649,https://condos.ca/toronto/centennial-hill-condominiums-100-mornelle-crt/unit-2070-E4851383
459000,Jul-29-2020,1409,17 Zorra St,1,1,0,499,297,https://condos.ca/toronto/park-towers-condominiums-at-iq-15-zorra-st-17-zorra-st/unit-1409-W4848592
449900,Jul-29-2020,PH 32,18 Mondeo Dr,1,1,1,600,387,https://condos.ca/toronto/mondeo-springs-2-18-mondeo-dr/unit-Ph32-E4849137
454800,Jul-29-2020,501,40 Panorama Crt,3,2,1,1200,671,https://condos.ca/toronto/40-panorama-court-condos-40-panorama-crt/unit-501-W4848585
448800,Jul-30-2020,,,1.5,2,1,1400,988,https://condos.ca/toronto/skypark-255-bamburgh-cir/unit-309-E4849834
409900,Jul-30-2020,1206,430 Mclevin Ave,1,1,2,800,457,https://condos.ca/toronto/mayfair-on-the-green-3-430-mclevin-ave/unit-1206-E4849514
349900,Jul-30-2020,1112,121 Trudelle St,2,2,1,700,794,https://condos.ca/toronto/mccowan-place-121-trudelle-st/unit-1112-E4849390
458800,Jul-29-2020,44,2315 Sheppard Ave W,1,1,1,500,181,https://condos.ca/toronto/the-brownstones-at-westown-60-100-parrotta-dr-2315-2355-sheppard-ave-w/unit-44-W4848838
449800,Jul-29-2020,1507,121 Trudelle St,2,2,1,1000,794,https://condos.ca/toronto/mccowan-place-121-trudelle-st/unit-1507-E4848719
449900,Jul-30-2020,,,2.5,2,1,1100,565,https://condos.ca/toronto/platinum-east-80-alton-towers-cir/unit-613-E4849798
499900,Jul-30-2020,1511,1 Lee Centre Dr,2,2,2,900,739,https://condos.ca/toronto/may-tower-1-1-lee-centre-dr/unit-1511-E4850088
499999,Jul-30-2020,1806,33 Shore Breeze Dr,1,1,0,500,315,https://condos.ca/toronto/jade-waterfront-condos-33-shore-breeze-drive/unit-1806-W4850067
339900,Jul-29-2020,,,3,1,1,700,715,https://condos.ca/toronto/50-lotherton-1-121-lotherton-pathway/unit-807-W4848582
469000,Jul-30-2020,2203,710 Humberwood Blvd,1.5,1,1,700,436,https://condos.ca/toronto/mansions-of-humberwood-710-humberwood-blvd/unit-2203-W4849413
489900,Jul-29-2020,904,420 Mill Rd,2,1,1,1000,687,https://condos.ca/toronto/burnham-glen-420-mill-rd/unit-904-W4849014
500000,Jul-29-2020,1111,4968 Yonge St,1,1,1,500,434,https://condos.ca/toronto/ultima-at-broadway-4968-yonge-st/unit-1111-C4849356
